2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2017-01-21 03:38:31,349 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2017-01-21 03:38:31,364 [Thread-9] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale de).
2017-01-21 03:38:31,411 [Thread-9] INFO  marytts.JTokeniser Starting power-on self test.
2017-01-21 03:38:31,427 [Thread-9] INFO  marytts.JTokeniser Power-on self test complete.
2017-01-21 03:38:31,427 [Thread-9] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale de).
2017-01-21 03:38:31,427 [Thread-9] INFO  marytts.Preprocess Starting power-on self test.
2017-01-21 03:38:31,427 [Thread-9] INFO  marytts.Preprocess Expanding say-as elements...
2017-01-21 03:38:31,427 [Thread-9] INFO  marytts.Preprocess Matching and expanding patterns...
2017-01-21 03:38:31,474 [Thread-9] INFO  marytts.Preprocess Done.
2017-01-21 03:38:31,474 [Thread-9] INFO  marytts.Preprocess Power-on self test complete.
2017-01-21 03:38:31,474 [Thread-9] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale de).
2017-01-21 03:38:32,093 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:32,095 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-01-21 03:38:32,095 [Thread-9] INFO  marytts.JPhonemiser_de Module started (PARTSOFSPEECH->PHONEMES, locale de).
2017-01-21 03:38:32,106 [Thread-9] INFO  marytts.JPhonemiser_de Starting power-on self test.
2017-01-21 03:38:32,122 [Thread-9] INFO  marytts.JPhonemiser_de Power-on self test complete.
2017-01-21 03:38:32,138 [Thread-9] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale de).
2017-01-21 03:38:32,138 [Thread-9] INFO  marytts.Prosody Starting power-on self test.
2017-01-21 03:38:32,144 [Thread-9] INFO  marytts.Prosody Power-on self test complete.
2017-01-21 03:38:32,144 [Thread-9] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale de).
2017-01-21 03:38:32,145 [Thread-9] INFO  marytts.PronunciationModel Starting power-on self test.
2017-01-21 03:38:32,148 [Thread-9] INFO  marytts.PronunciationModel Power-on self test complete.
2017-01-21 03:38:32,152 [Thread-9] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale de).
2017-01-21 03:38:32,152 [Thread-9] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2017-01-21 03:38:32,152 [Thread-9] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2017-01-21 03:38:32,152 [Thread-9] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.JTokeniser Starting power-on self test.
